Gender,Age,Educational Qualification ,How many online courses have you taken before COVID-19 pandemic? [Before COVID-19] ,"
How many online courses have you taken after COVID-19 pandemic? [After COVID-19] ","
How often do you upskill yourself? ",Which digital platform do you prefer for upskilling?,How much money do you spend on Upskilling in Digital Platforms?,How much do you agree with the features of upskilling given below? [Usefulness] ,"
12. How much do you agree with the features of upskilling given below?
 [Enhances  job opportunities] ","
13. How much do you agree with benefits of upskilling stated below?
 [Improves knowledge] ","
Is upskilling through digital platforms more beneficial than traditional / offline methods?  ","
Would you suggest upskilling through Digital Platform to others? "
Female,20,UG,None,2,Whenever required,Udemy,"Less than 10,000",3,3,3,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Female,19,UG,1,3 and more,Once in every 6 months,Coursera,"Less than 10,000",3,3,3,No,Yes
Female,19,UG,None,2,Whenever required,NPTEL,"Less than 10,000",3,2,2,No,No
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,None,1,Once in every 3 months,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Female,20,UG,None,2,Whenever required,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",3,4,3,No,No
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,3 and more,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,None,1,Whenever required,LinkedIn,"Less than 10,000",4,4,4,Yes,Yes
Female,20,UG,None,1,Once in every 3 months,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,21,UG,None,3 and more,Once in a year,NPTEL,"Less than 10,000",4,5,5,Yes,Yes
Male,20,UG,1,3 and more,Whenever required,NPTEL,"Less than 10,000",4,4,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Male,29,Professional,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,38,Professional,3 and more,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,39,Professional,3 and more,3 and more,Once in every 6 months,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Male,30,Professional,1,3 and more,Once in every 3 months,NPTEL,"10,000 - 25,000",4,4,4,Yes,Yes
Male,34,Professional,3 and more,3 and more,Once in every 3 months,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,48,Professional,2,3 and more,Once in every 6 months,Coursera,"10,000 - 25,000",5,5,5,Yes,Yes
Male,35,Professional,3 and more,3 and more,Once in every 3 months,Udemy,"10,000 - 25,000",3,4,3,No,Yes
Male,43,Professional,3 and more,3 and more,Whenever required,Udemy,"10,000 - 25,000",4,3,4,Yes,Yes
Male,27,Professional,2,3 and more,Whenever required,NPTEL,"Less than 10,000",4,3,4,Yes,Yes
Male,30,Professional,1,2,Once in every 3 months,Udemy,"Less than 10,000",3,4,3,Yes,Yes
Male,22,Diploma,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,4,4,No,Yes
Male,22,UG,3 and more,3 and more,Once in every 6 months,NPTEL,"Less than 10,000",4,5,5,Yes,Yes
Male,19,UG,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,28,Professional,3 and more,3 and more,Once in every 3 months,LinkedIn,"Less than 10,000",4,4,5,No,Yes
Female,35,Professional,3 and more,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,4,3,Yes,Yes
Female,18,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Male,19,Diploma,None,2,Whenever required,LinkedIn,"Less than 10,000",3,3,4,Yes,Yes
Male,19,UG,None,2,Whenever required,LinkedIn,"Less than 10,000",3,3,3,No,No
Male,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,5,3,Yes,Yes
Male,19,UG,None,None,Whenever required,NPTEL,"Less than 10,000",3,3,3,No,No
Male,21,UG,2,2,Whenever required,Coursera,"Less than 10,000",3,4,4,Yes,No
Male,19,Diploma,2,2,Once in every 6 months,Coursera,"Less than 10,000",2,3,4,No,Yes
Male,18,UG,2,2,Once in every 6 months,Coursera,"Less than 10,000",4,3,4,No,Yes
Male,19,UG,1,2,Once in every 3 months,LinkedIn,"Less than 10,000",3,4,2,No,Yes
Male,23,UG,1,2,Once in every 6 months,Udemy,"Less than 10,000",3,3,4,No,No
